"state","week","race","kids","food_sufficiency","people"
"Alabama",17,"Hispanic or Latino, all Races","no","enough not wanted",9238.71095779
"Alabama",17,"Hispanic or Latino, all Races","no","enough wanted",23032.32545705
"Alabama",17,"Hispanic or Latino, all Races","no","often not enough",8098.8359921
"Alabama",17,"Hispanic or Latino, all Races","no","sometimes not enough",11889.9634656
"Alabama",17,"Hispanic or Latino, all Races","no",NA,36027.09473943
"Alabama",17,"Hispanic or Latino, all Races","yes","enough not wanted",19044.2492015
"Alabama",17,"Hispanic or Latino, all Races","yes","enough wanted",53018.4996762
"Alabama",17,"Hispanic or Latino, all Races","yes","sometimes not enough",23585.8977353
"Alabama",17,"Hispanic or Latino, all Races","yes",NA,10419.9059966
"Alabama",17,"Two or more races or Other","no","enough not wanted",14327.8629947
"Alabama",17,"Two or more races or Other","no","enough wanted",6382.40825796
"Alabama",17,"Two or more races or Other","no","often not enough",3133.4339489
"Alabama",17,"Two or more races or Other","no","sometimes not enough",8274.2764486
"Alabama",17,"Two or more races or Other","no",NA,7503.0250137
"Alabama",17,"Two or more races or Other","yes","enough not wanted",8267.4454997
"Alabama",17,"Two or more races or Other","yes","enough wanted",33990.6448082
"Alabama",17,"Two or more races or Other","yes","often not enough",4600.7528034
"Alabama",17,"Two or more races or Other","yes","sometimes not enough",6266.8678978
"Alabama",17,"Two or more races or Other","yes",NA,6556.484746
"Alabama",17,"White alone, not Hispanic","no","enough not wanted",349569.85485338
"Alabama",17,"White alone, not Hispanic","no","enough wanted",911709.22669406
"Alabama",17,"White alone, not Hispanic","no","often not enough",20960.5706355
"Alabama",17,"White alone, not Hispanic","no","sometimes not enough",66119.49292134
"Alabama",17,"White alone, not Hispanic","no",NA,192839.48625684
"Alabama",17,"White alone, not Hispanic","yes","enough not wanted",216526.93647224
"Alabama",17,"White alone, not Hispanic","yes","enough wanted",511908.13574801
"Alabama",17,"White alone, not Hispanic","yes","often not enough",14102.55529627
"Alabama",17,"White alone, not Hispanic","yes","sometimes not enough",58644.8690426
"Alabama",17,"White alone, not Hispanic","yes",NA,145609.68346549
"Alaska",13,"Asian alone, not Hispanic","no","enough not wanted",3641.680970759
"Alaska",13,"Asian alone, not Hispanic","no","enough wanted",5834.237143906
"Alaska",13,"Asian alone, not Hispanic","no","sometimes not enough",107.43722817
"Alaska",13,"Asian alone, not Hispanic","no",NA,3356.955340957
"Alaska",13,"Asian alone, not Hispanic","yes","enough not wanted",10360.38437118
"Alaska",13,"Asian alone, not Hispanic","yes","enough wanted",5715.244379267
"Alaska",13,"Asian alone, not Hispanic","yes","often not enough",559.99048753
"Alaska",13,"Asian alone, not Hispanic","yes","sometimes not enough",2318.87510524
"Alaska",13,"Asian alone, not Hispanic","yes",NA,1810.81602175
"Alaska",13,"Black alone, not Hispanic","no","enough not wanted",1092.474223488
"Alaska",13,"Black alone, not Hispanic","no","enough wanted",3975.784973206
"Alaska",13,"Black alone, not Hispanic","no","sometimes not enough",741.92946076
"Alaska",13,"Black alone, not Hispanic","no",NA,86.686587699
"Alaska",13,"Black alone, not Hispanic","yes","enough not wanted",2399.334783589
"Alaska",13,"Black alone, not Hispanic","yes","enough wanted",3700.950136164
"Alaska",13,"Black alone, not Hispanic","yes","often not enough",205.39386407
"Alaska",13,"Black alone, not Hispanic","yes","sometimes not enough",206.584500407
"Alaska",13,"Black alone, not Hispanic","yes",NA,1031.824027315
"Alaska",13,"Hispanic or Latino, all Races","no","enough not wanted",3762.537558687
"Alaska",13,"Hispanic or Latino, all Races","no","enough wanted",7987.093141608
"Alaska",13,"Hispanic or Latino, all Races","no","often not enough",225.10327634
"Alaska",13,"Hispanic or Latino, all Races","no","sometimes not enough",139.32126739
"Alaska",13,"Hispanic or Latino, all Races","no",NA,1339.129338637
"Alaska",13,"Hispanic or Latino, all Races","yes","enough not wanted",4838.842627794
"Alaska",13,"Hispanic or Latino, all Races","yes","enough wanted",8216.046703707
"Alaska",13,"Hispanic or Latino, all Races","yes","often not enough",515.49017528
"Alaska",13,"Hispanic or Latino, all Races","yes","sometimes not enough",3093.38139259
"Alaska",13,"Hispanic or Latino, all Races","yes",NA,3529.05451791
"Alaska",13,"Two or more races or Other","no","enough not wanted",17040.604835369
"Alaska",13,"Two or more races or Other","no","enough wanted",20830.648845625
"Alaska",13,"Two or more races or Other","no","often not enough",7920.296379498
"Alaska",13,"Two or more races or Other","no","sometimes not enough",8806.874004219
"Alaska",13,"Two or more races or Other","no",NA,4363.31268572
"Alaska",13,"Two or more races or Other","yes","enough not wanted",15205.276949868
"Alaska",13,"Two or more races or Other","yes","enough wanted",26240.636276326
"Alaska",13,"Two or more races or Other","yes","often not enough",1779.167241569
"Alaska",13,"Two or more races or Other","yes","sometimes not enough",3809.252866965
"Alaska",13,"Two or more races or Other","yes",NA,2250.346309373
"Alaska",13,"White alone, not Hispanic","no","enough not wanted",45327.82074139
"Alaska",13,"White alone, not Hispanic","no","enough wanted",138471.0819974
"Alaska",13,"White alone, not Hispanic","no","often not enough",2436.43576867
"Alaska",13,"White alone, not Hispanic","no","sometimes not enough",12476.331102843
"Alaska",13,"White alone, not Hispanic","no",NA,15631.562803375
"Alaska",13,"White alone, not Hispanic","yes","enough not wanted",37168.430763783
"Alaska",13,"White alone, not Hispanic","yes","enough wanted",62960.074377961
"Alaska",13,"White alone, not Hispanic","yes","often not enough",1238.359754523
"Alaska",13,"White alone, not Hispanic","yes","sometimes not enough",7896.648931614
"Alaska",13,"White alone, not Hispanic","yes",NA,12279.253758183
"Alaska",14,"Asian alone, not Hispanic","no","enough not wanted",3585.093571947
"Alaska",14,"Asian alone, not Hispanic","no","enough wanted",9669.55978821
"Alaska",14,"Asian alone, not Hispanic","no","often not enough",568.39943428
"Alaska",14,"Asian alone, not Hispanic","no","sometimes not enough",1212.766612049
"Alaska",14,"Asian alone, not Hispanic","no",NA,1477.99323178
"Alaska",14,"Asian alone, not Hispanic","yes","enough not wanted",4800.85599639
"Alaska",14,"Asian alone, not Hispanic","yes","enough wanted",6404.258789246
"Alaska",14,"Asian alone, not Hispanic","yes","sometimes not enough",827.115084237
"Alaska",14,"Asian alone, not Hispanic","yes",NA,2434.50599609
"Alaska",14,"Black alone, not Hispanic","no","enough not wanted",1979.35687933
"Alaska",14,"Black alone, not Hispanic","no","enough wanted",4431.619906125
"Alaska",14,"Black alone, not Hispanic","no","often not enough",277.192340849
"Alaska",14,"Black alone, not Hispanic","no","sometimes not enough",825.55519347
"Alaska",14,"Black alone, not Hispanic","no",NA,1283.894158993
"Alaska",14,"Black alone, not Hispanic","yes","enough not wanted",2973.506178206
"Alaska",14,"Black alone, not Hispanic","yes","enough wanted",3038.058209976
"Alaska",14,"Black alone, not Hispanic","yes","often not enough",473.90264962
"Alaska",14,"Black alone, not Hispanic","yes","sometimes not enough",602.43392664
"Alaska",14,"Black alone, not Hispanic","yes",NA,1787.630723319
"Alaska",14,"Hispanic or Latino, all Races","no","enough not wanted",6092.292048728
"Alaska",14,"Hispanic or Latino, all Races","no","enough wanted",6495.679212299
"Alaska",14,"Hispanic or Latino, all Races","no","sometimes not enough",3801.933916389
"Alaska",14,"Hispanic or Latino, all Races","no",NA,1378.496153253
"Alaska",14,"Hispanic or Latino, all Races","yes","enough not wanted",3733.255753802
"Alaska",14,"Hispanic or Latino, all Races","yes","enough wanted",6535.897169026
"Alaska",14,"Hispanic or Latino, all Races","yes","often not enough",1122.81805237
"Alaska",14,"Hispanic or Latino, all Races","yes","sometimes not enough",477.3398733
"Alaska",14,"Hispanic or Latino, all Races","yes",NA,4008.28782099
"Alaska",14,"Two or more races or Other","no","enough not wanted",17852.77483432
"Alaska",14,"Two or more races or Other","no","enough wanted",26201.17721154
"Alaska",14,"Two or more races or Other","no","often not enough",1653.366062018
"Alaska",14,"Two or more races or Other","no","sometimes not enough",3260.613516709
"Alaska",14,"Two or more races or Other","no",NA,4406.408840194
"Alaska",14,"Two or more races or Other","yes","enough not wanted",16732.389545915
"Alaska",14,"Two or more races or Other","yes","enough wanted",15998.48945277
"Alaska",14,"Two or more races or Other","yes","often not enough",5532.546829689
"Alaska",14,"Two or more races or Other","yes","sometimes not enough",6704.890391984
"Alaska",14,"Two or more races or Other","yes",NA,8396.644644469
"Alaska",14,"White alone, not Hispanic","no","enough not wanted",55939.242875612
"Alaska",14,"White alone, not Hispanic","no","enough wanted",137775.114541867
"Alaska",14,"White alone, not Hispanic","no","often not enough",2220.689437695
"Alaska",14,"White alone, not Hispanic","no","sometimes not enough",7687.383274283
"Alaska",14,"White alone, not Hispanic","no",NA,17172.282559375
"Alaska",14,"White alone, not Hispanic","yes","enough not wanted",29481.177959955
"Alaska",14,"White alone, not Hispanic","yes","enough wanted",71381.842157342
"Alaska",14,"White alone, not Hispanic","yes","often not enough",491.03873471
"Alaska",14,"White alone, not Hispanic","yes","sometimes not enough",3874.464866285
"Alaska",14,"White alone, not Hispanic","yes",NA,9862.763592235
"Alaska",15,"Asian alone, not Hispanic","no","enough not wanted",3169.271594031
"Alaska",15,"Asian alone, not Hispanic","no","enough wanted",11628.076984888
"Alaska",15,"Asian alone, not Hispanic","no","sometimes not enough",296.62883086
"Alaska",15,"Asian alone, not Hispanic","no",NA,1157.98102077
"Alaska",15,"Asian alone, not Hispanic","yes","enough not wanted",5583.251820472
"Alaska",15,"Asian alone, not Hispanic","yes","enough wanted",8308.24119795
"Alaska",15,"Asian alone, not Hispanic","yes","sometimes not enough",1967.45456612
"Alaska",15,"Asian alone, not Hispanic","yes",NA,3277.63453015
"Alaska",15,"Black alone, not Hispanic","no","enough not wanted",720.628729091
"Alaska",15,"Black alone, not Hispanic","no","enough wanted",2183.68312306
"Alaska",15,"Black alone, not Hispanic","no",NA,594.28992033
"Alaska",15,"Black alone, not Hispanic","yes","enough not wanted",1612.57616747
"Alaska",15,"Black alone, not Hispanic","yes","enough wanted",3114.737603156
"Alaska",15,"Black alone, not Hispanic","yes","often not enough",168.121750869
"Alaska",15,"Black alone, not Hispanic","yes","sometimes not enough",421.7292722
"Alaska",15,"Black alone, not Hispanic","yes",NA,1995.46283835
"Alaska",15,"Hispanic or Latino, all Races","no","enough not wanted",8870.812194529
"Alaska",15,"Hispanic or Latino, all Races","no","enough wanted",3617.434173066
"Alaska",15,"Hispanic or Latino, all Races","no","often not enough",204.417455343
"Alaska",15,"Hispanic or Latino, all Races","no","sometimes not enough",903.702721246
"Alaska",15,"Hispanic or Latino, all Races","no",NA,3835.549356375
"Alaska",15,"Hispanic or Latino, all Races","yes","enough not wanted",5648.810989971
"Alaska",15,"Hispanic or Latino, all Races","yes","enough wanted",6653.724621329
"Alaska",15,"Hispanic or Latino, all Races","yes","often not enough",89.462358025
"Alaska",15,"Hispanic or Latino, all Races","yes","sometimes not enough",1023.0059627
"Alaska",15,"Hispanic or Latino, all Races","yes",NA,2799.08016739
"Alaska",15,"Two or more races or Other","no","enough not wanted",15579.190621091
"Alaska",15,"Two or more races or Other","no","enough wanted",26088.605934444
"Alaska",15,"Two or more races or Other","no","often not enough",1026.635098438
"Alaska",15,"Two or more races or Other","no","sometimes not enough",7483.614869928
"Alaska",15,"Two or more races or Other","no",NA,4642.067388187
"Alaska",15,"Two or more races or Other","yes","enough not wanted",19062.829055954
"Alaska",15,"Two or more races or Other","yes","enough wanted",20113.323229237
"Alaska",15,"Two or more races or Other","yes","often not enough",1058.55790958
"Alaska",15,"Two or more races or Other","yes","sometimes not enough",4300.149226186
"Alaska",15,"Two or more races or Other","yes",NA,9838.25671763
"Alaska",15,"White alone, not Hispanic","no","enough not wanted",52684.147504091
"Alaska",15,"White alone, not Hispanic","no","enough wanted",141619.824556676
"Alaska",15,"White alone, not Hispanic","no","often not enough",2685.141728868
"Alaska",15,"White alone, not Hispanic","no","sometimes not enough",5207.84871117
"Alaska",15,"White alone, not Hispanic","no",NA,14252.045910937
"Alaska",15,"White alone, not Hispanic","yes","enough not wanted",29878.039710763
"Alaska",15,"White alone, not Hispanic","yes","enough wanted",73259.606307155
"Alaska",15,"White alone, not Hispanic","yes","often not enough",4556.508692833
"Alaska",15,"White alone, not Hispanic","yes","sometimes not enough",3976.373457563
"Alaska",15,"White alone, not Hispanic","yes",NA,7766.463419257
"Alaska",16,"Asian alone, not Hispanic","no","enough not wanted",6211.95442272
"Alaska",16,"Asian alone, not Hispanic","no","enough wanted",9526.604366982
"Alaska",16,"Asian alone, not Hispanic","no","sometimes not enough",279.568091709
"Alaska",16,"Asian alone, not Hispanic","no",NA,1532.97601425
"Alaska",16,"Asian alone, not Hispanic","yes","enough not wanted",5538.91158138
"Alaska",16,"Asian alone, not Hispanic","yes","enough wanted",3954.11076057
"Alaska",16,"Asian alone, not Hispanic","yes","sometimes not enough",416.5353262
"Alaska",16,"Asian alone, not Hispanic","yes",NA,874.64312444
"Alaska",16,"Black alone, not Hispanic","no","enough not wanted",1915.029239343
"Alaska",16,"Black alone, not Hispanic","no","enough wanted",2912.653725673
"Alaska",16,"Black alone, not Hispanic","no","often not enough",572.90455604
"Alaska",16,"Black alone, not Hispanic","no","sometimes not enough",147.58198991
"Alaska",16,"Black alone, not Hispanic","no",NA,2731.30695659
"Alaska",16,"Black alone, not Hispanic","yes","enough not wanted",502.3422102
"Alaska",16,"Black alone, not Hispanic","yes","enough wanted",6526.23879005
"Alaska",16,"Black alone, not Hispanic","yes","often not enough",294.63092061
"Alaska",16,"Black alone, not Hispanic","yes","sometimes not enough",301.40532612
"Alaska",16,"Black alone, not Hispanic","yes",NA,1576.80006083
"Alaska",16,"Hispanic or Latino, all Races","no","enough not wanted",7322.9295785963
"Alaska",16,"Hispanic or Latino, all Races","no","enough wanted",6008.7105858753
"Alaska",16,"Hispanic or Latino, all Races","no","often not enough",144.313194934
"Alaska",16,"Hispanic or Latino, all Races","no","sometimes not enough",318.183938548
